CPE,hora,consumo_real,veredicto,data
C18SC002074,3,0.0,normal,2026-05-01
C18SC002074,4,0.0,normal,2026-05-01
C18SC002074,5,0.0,normal,2026-05-01
C18SC002074,6,0.0,normal,2026-05-01
C18SC002074,7,0.0,normal,2026-05-01
C18SC002074,8,0.0,normal,2026-05-01
C18SC002074,9,0.0,normal,2026-05-01
C18SC002074,10,0.0,normal,2026-05-01
C18SC002074,15,0.0,normal,2026-05-01
C18SC002074,16,0.0,normal,2026-05-01
C18SC002074,17,0.0,normal,2026-05-01
C18SC002074,18,0.0,normal,2026-05-01
C18SC002074,19,0.0,normal,2026-05-01
C18SC002074,20,0.0,normal,2026-05-01
C18SC002074,21,0.0,normal,2026-05-01
C18SC002074,22,0.0,normal,2026-05-01
C18SC002074,23,0.0,normal,2026-05-01
C18SC002075,0,0.0,normal,2026-05-01
C18SC002075,1,0.0,normal,2026-05-01
C18SC002075,2,0.0,normal,2026-05-01
C18SC002075,3,0.0,normal,2026-05-01
C18SC002075,4,0.0,normal,2026-05-01
C18SC002075,5,0.0,normal,2026-05-01
C18SC002075,6,0.0,normal,2026-05-01
C18SC002075,7,0.0,normal,2026-05-01
C18SC002075,8,0.0,normal,2026-05-01
C18SC002075,9,0.0,normal,2026-05-01
C18SC002075,10,0.0,normal,2026-05-01
C18SC002075,11,0.0,normal,2026-05-01
C18SC002075,12,0.0,normal,2026-05-01
C18SC002075,13,0.0,normal,2026-05-01
C18SC002075,14,0.0,normal,2026-05-01
C18SC002075,15,0.0,normal,2026-05-01
C18SC002075,16,0.0,normal,2026-05-01
C18SC002075,17,0.0,normal,2026-05-01
C18SC002075,18,0.0,normal,2026-05-01
C18SC002075,19,0.0,normal,2026-05-01
C18SC002075,20,0.0,normal,2026-05-01
C18SC002075,21,0.0,normal,2026-05-01
C18SC002075,22,0.0,normal,2026-05-01
C18SC002075,23,0.0,normal,2026-05-01
C18SC002081,0,0.0,normal,2026-05-01
C18SC002082,0,0.0,normal,2026-05-01
C18SC002088,0,0.0,normal,2026-05-01
C18SC002088,1,0.0,normal,2026-05-01
C18SC002088,2,0.0,normal,2026-05-01
C18SC002088,3,0.0,normal,2026-05-01
C18SC002088,4,0.0,normal,2026-05-01
C18SC002088,5,0.0,normal,2026-05-01
C18SC002088,6,0.0,normal,2026-05-01
C18SC002088,7,0.0,normal,2026-05-01
C18SC002088,8,0.0,normal,2026-05-01
C18SC002088,9,0.0,normal,2026-05-01
C18SC002088,10,0.0,normal,2026-05-01
C18SC002088,11,0.0,normal,2026-05-01
C18SC002088,12,0.0,normal,2026-05-01
C18SC002088,13,0.0,normal,2026-05-01
C18SC002088,14,0.0,normal,2026-05-01
C18SC002088,15,0.0,normal,2026-05-01
C18SC002088,16,0.0,normal,2026-05-01
C18SC002088,17,0.0,normal,2026-05-01
C18SC002088,18,0.0,normal,2026-05-01
C18SC002088,19,0.0,normal,2026-05-01
C18SC002088,20,0.0,normal,2026-05-01
C18SC002088,21,0.0,normal,2026-05-01
C18SC002088,22,0.0,normal,2026-05-01
C18SC002088,23,0.0,normal,2026-05-01
C18SC002098,0,0.0,normal,2026-05-01
C18SC002098,1,0.0,normal,2026-05-01
C18SC002098,2,0.0,normal,2026-05-01
C18SC002098,3,0.0,normal,2026-05-01
C18SC002098,4,0.0,normal,2026-05-01
C18SC002098,5,0.0,normal,2026-05-01
C18SC002098,6,0.0,normal,2026-05-01
C18SC002098,7,0.0,normal,2026-05-01
C18SC002098,8,0.0,normal,2026-05-01
C18SC002098,9,0.0,normal,2026-05-01
C18SC002098,10,0.0,normal,2026-05-01
C18SC002098,11,0.0,normal,2026-05-01
C18SC002098,12,0.0,normal,2026-05-01
C18SC002098,13,0.0,normal,2026-05-01
C18SC002098,14,0.0,normal,2026-05-01
C18SC002098,15,0.0,normal,2026-05-01
C18SC002098,16,0.0,normal,2026-05-01
C18SC002098,17,0.0,normal,2026-05-01
C18SC002098,18,0.0,normal,2026-05-01
C18SC002098,19,0.0,normal,2026-05-01
C18SC002098,20,0.0,normal,2026-05-01
C18SC002098,21,0.0,normal,2026-05-01
C18SC002098,22,0.0,normal,2026-05-01
C18SC002098,23,0.0,normal,2026-05-01
C18SC002104,0,0.0,normal,2026-05-01
C18SC002104,1,0.0,normal,2026-05-01
C18SC002104,2,0.0,normal,2026-05-01
C18SC002104,3,0.0,normal,2026-05-01
C18SC002104,4,0.0,normal,2026-05-01
C18SC002104,5,0.0,normal,2026-05-01
